grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,num_replans,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,20,8,43,43,100,Y,1,0,8,19,12.3,12.3,238,1,8,6,23,12,15,6,9,15,6,6,21,16,9,7,8,14,7,26,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,9,49,49,100,Y,1,0,9,19,12.35,12.35,238,0,6,27,8,11,13,9,12,14,27,17,9,9,10,8,7,10,18,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,10,35,35,100,Y,2,0,6,18,12.2,12.2,238,0,12,4,17,2,13,11,27,19,6,6,4,10,31,11,4,6,21,6,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,11,79,79,97.9,N,5,0,15,15,12.65,12.65,233,3,5,5,10,10,6,23,19,8,26,13,9,4,9,10,10,22,12,9,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,12,59,59,100,Y,2,0,8,18,12.3,12.3,238,0,14,6,6,5,9,9,29,7,11,40,16,5,30,9,4,9,12,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,13,47,47,100,Y,0,0,10,20,12.4,12.4,238,2,8,10,11,20,24,27,8,20,13,8,7,7,7,13,10,7,11,7,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,14,51,51,100,Y,0,0,7,20,12.25,12.25,238,1,9,9,23,8,7,5,16,9,10,9,10,6,21,31,5,6,6,6,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,15,55,55,99.16,N,3,0,3,17,12.05,12.05,236,0,27,21,11,24,7,26,3,10,7,9,7,10,6,9,5,6,19,11,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,16,99,99,96.64,N,1,0,8,19,12.3,12.3,230,2,7,6,11,6,7,20,5,8,14,15,18,3,19,6,5,21,9,8,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,17,95,95,97.9,N,3,0,8,17,12.3,12.3,233,1,6,5,10,8,9,11,29,9,9,3,8,6,19,6,20,11,8,13,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
